t,success,mid,pmt,pg,sub_type,hr,bank
2,1,zivame,NB,PAYU,,2020-02-14 06,NB_CITI
1,0,urbanclap,NB,PAYTM,,2020-02-14 06,NB_SYNB
5,1,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 11,AIRTELMONEY
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 12,THE SATARA SAHAKARI BANK LTD MUMBAI
1,1,fanfight,CARD,RAZORPAY,,2020-02-14 06,DCB
3,3,fanfight,CARD,GOCASHFREE,,2020-02-14 07,SARVA HARYANA GRAMIN BANK
2,1,fanfight,CARD,GOCASHFREE,,2020-02-14 09,Abhyudaya Cooperative Bank
1,1,zivame,CARD,PAYU,,2020-02-14 09,South Indian Bank
2,2,purplle.com,CARD,PAYTM,,2020-02-14 07,Abhyudaya Cooperative Bank
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 02,Karur Vysya Bank
1,0,urbanclap,NB,PAYTM,,2020-02-14 03,NB_CSB
6,0,fanfight,NB,RAZORPAY,,2020-02-14 09,NB_INDB
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 02,JANATA SAHAKARI BANK LTD PUNE
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 03,NB_IDFC
1,0,zivame,NB,PAYU,,2020-02-14 12,NB_KARN
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 09,MATTELF.C.U.
4,1,fanfight,CARD,RAZORPAY,,2020-02-14 05,Karur Vysya Bank
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,BARODA RAJASTHAN KSHETRIYA GRAMIN BANK
1,0,pharmeasytech,NB,PAYU,,2020-02-14 07,NB_CUB
1,1,medlife_prod,CARD,TPSL,,2020-02-14 08,Punjab and Sind Bank
2,1,zivame,CARD,HDFC,,2020-02-14 08,City Union Bank
3,1,fanfight,CARD,RAZORPAY,,2020-02-14 07,SOUTHCAROLINAF.C.U.
1,0,pharmeasytech,CARD,PAYU,,2020-02-14 11,GP Parsik Bank
2,0,fanfight,NB,RAZORPAY,,2020-02-14 04,NB_UNIB
1,1,countrydelight,CARD,PAYU,,2020-02-14 12,FIRSTDUPAGEBANK
3,3,fanfight,NB,PAYTM,,2020-02-14 12,NB_IDFC
1,1,medlife_prod,CARD,TPSL,,2020-02-14 04,THE KALUPUR COMMERCIAL CO OP BANK LTD
1,1,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-14 11,EPAYLATER
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,THE ALMORA URBAN COOPERATIVE BANK
1,1,zivame,NB,PAYU,,2020-02-14 17,NB_IOB
5,0,fanfight,CARD,GOCASHFREE,,2020-02-14 13,JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR
2,0,medlife_prod,CARD,TPSL,,2020-02-14 16,South Indian Bank
9,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_INDB
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 15,THE MOGAVEERA COOP BANK LTD
1,1,medlife_prod,CARD,TPSL,,2020-02-14 14,THE MOGAVEERA COOP BANK LTD
1,0,purplle.com,NB,PAYU,,2020-02-14 13,NB_FED
1,0,urbanclap,CARD,PAYTM,,2020-02-14 13,CANADIANIMPERIALBANKOFCOMMERCE
5,0,fanfight,NB,RAZORPAY,,2020-02-14 13,NB_ALLB
3,0,fanfight,CARD,GOCASHFREE,,2020-02-14 15,PURVANCHAL GRAMIN BANK
4,0,fanfight,CARD,RAZORPAY,,2020-02-14 15,COMMUNITYBANK
1,1,countrydelight,CARD,PAYU,,2020-02-14 14,MATTELF.C.U.
3,1,zivame,CARD,HDFC,,2020-02-14 12,COMMUNITYBANK
1,0,urbanclap,NB,PAYTM,,2020-02-14 04,NB_INDUS
5,0,fanfight,NB,RAZORPAY,,2020-02-14 07,NB_UCOB
3,0,medlife_prod,NB,RAZORPAY,,2020-02-14 07,NB_IOB
4,0,zivame,NB,PAYU,,2020-02-14 08,NB_UCOB
4,4,medlife_prod,CARD,TPSL,,2020-02-14 07,IDFC Bank
5,3,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 06,AIRTELMONEY
1,0,medlife_prod,CARD,TPSL,,2020-02-14 04,COMMUNITYBANK
2,0,medlife_prod,CARD,TPSL,,2020-02-14 06,NKGSB COOP BANK LTD
1,1,zivame,CARD,HDFC,,2020-02-14 10,BCCARDCO..LTD.
3,2,fanfight,CARD,GOCASHFREE,,2020-02-14 11,SARVA HARYANA GRAMIN BANK
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 12,RAJKOT NAGARIK SAHAKARI BANK LTD
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 08,South Indian Bank
1,1,urbanclap,CARD,PAYTM,,2020-02-14 04,DCB
3,0,pharmeasytech,CARD,,,2020-02-14 04,Zeta
3,0,fanfight,NB,RAZORPAY,,2020-02-14 07,NB_ANDHRA
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 09,NB_CORP
1,1,medlife_prod,CARD,TPSL,,2020-02-14 10,Saraswat Bank
5,1,pharmeasytech,CARD,PAYU,,2020-02-14 04,IDFC Bank
1,1,medlife_prod,CARD,TPSL,,2020-02-14 06,CREDITLIBANAISS.A.L.
1,1,countrydelight,NB,PAYU,,2020-02-14 12,NB_INDB
2,2,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 01,AIRTELMONEY
1,0,pharmeasytech,CARD,PAYU,,2020-02-14 01,IDFC Bank
1,0,fanfight,NB,RAZORPAY,,2020-02-14 05,NB_BOBCORP
1,1,zivame,CARD,HDFC,,2020-02-14 05,Punjab and Sind Bank
1,0,zivame,NB,PAYU,,2020-02-14 07,NB_ANDHRA
3,1,zivame,CARD,PAYU,,2020-02-14 09,The Catholic Syrian Bank
1,0,fanfight,NB,RAZORPAY,,2020-02-14 09,NB_OBC
1,1,fanfight,CARD,RAZORPAY,,2020-02-14 04,Tamilnad Mercantile Bank
1,0,urbanclap,NB,PAYTM,,2020-02-14 14,NB_FED
1,1,zivame,CARD,HDFC,,2020-02-14 13,Karur Vysya Bank
2,2,pharmeasytech,CARD,PAYU,,2020-02-14 17,Punjab and Sind Bank
1,0,fanfight,CARD,GOCASHFREE,,2020-02-14 16,BARODA UTTAR PRADESH GRAMIN BANK
3,1,countrydelight,NB,PAYU,,2020-02-14 17,NB_DEUT
2,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,ASSAM COOPERATIVE APEX BANK LTD
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,THE SURAT PEOPLES COOPERATIVE BANK LTD
1,0,pharmeasytech,NB,PAYU,,2020-02-14 15,NB_IOB
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 13,PAYZAPP
1,1,zivame,NB,PAYU,,2020-02-14 13,NB_AIRTEL
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 13,South Indian Bank
1,1,urbanclap,NB,PAYU,,2020-02-14 12,NB_AIRTEL
1,0,fanfight,NB,RAZORPAY,,2020-02-14 14,NB_CORP
2,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 18,PAYZAPP
5,2,countrydelight,NB,PAYU,,2020-02-12 06,NB_AIRTEL
3,0,fanfight,CARD,GOCASHFREE,,2020-02-12 13,IDFC Bank
1,0,medlife_prod,NB,RAZORPAY,,2020-02-12 00,NB_SOIB
1,0,medlife_prod,NB,RAZORPAY,,2020-02-12 09,NB_ALLB
3,1,urbanclap,NB,PAYTM,,2020-02-12 09,NB_IDFC
2,0,drivezy,NB,GOCASHFREE,,2020-02-12 09,NB_VJYB
1,1,countrydelight,CARD,PAYU,,2020-02-12 06,Abhyudaya Cooperative Bank
1,1,drivezy,CARD,GOCASHFREE,,2020-02-12 12,MONEYACCESSSERVICE.INC.
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-12 07,JIOMONEY
1,1,urbanclap,CARD,PAYTM,,2020-02-12 05,Kotak Bank
1,1,pharmeasytech,NB,PAYU,,2020-02-12 07,NB_CORP
3,1,drivezy,CARD,GOCASHFREE,,2020-02-12 02,Kotak Bank
1,0,purplle.com,NB,PAYTM,,2020-02-12 06,NB_ALLB
1,1,urbanclap,NB,PAYTM,,2020-02-12 05,NB_CSB
1,1,pharmeasytech,NB,PAYU,,2020-02-12 11,NB_IOB
2,1,drivezy,CARD,GOCASHFREE,,2020-02-12 07,City Union Bank
1,0,countrydelight,NB,PAYU,,2020-02-12 06,NB_ANDHRA
1,0,medlife_prod,CARD,TPSL,,2020-02-12 03,The Shamrao Vithal Cooperative Bank
1,1,countrydelight,NB,PAYU,,2020-02-12 05,NB_IDFC
3,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-12 11,EPAYLATER
2,1,fanfight,CARD,RAZORPAY,,2020-02-12 02,Karur Vysya Bank
1,0,countrydelight,NB,PAYU,,2020-02-12 18,NB_AIRTEL
2,1,fanfight,CARD,RAZORPAY,,2020-02-12 14,Punjab and Sind Bank
8,0,fanfight,NB,RAZORPAY,,2020-02-12 13,NB_CBI
1,1,drivezy,CARD,GOCASHFREE,,2020-02-12 14,South Indian Bank
4,1,fanfight,NB,RAZORPAY,,2020-02-12 14,NB_SYNB
2,1,urbanclap,CARD,PAYTM,,2020-02-12 16,Kotak Bank
7,0,fanfight,NB,RAZORPAY,,2020-02-12 15,NB_PNBCORP
3,2,pharmeasytech,CARD,PAYU,,2020-02-12 13,IDFC Bank
4,4,fanfight,CARD,RAZORPAY,,2020-02-12 15,Mudra Bank
2,0,zivame,CARD,HDFC,,2020-02-14 05,Mudra Bank
2,2,drivezy,CARD,GOCASHFREE,,2020-02-14 04,South Indian Bank
2,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-14 10,EPAYLATER
1,0,purplle.com,NB,PAYTM,,2020-02-14 03,NB_ALLB
2,1,urbanclap,NB,PAYTM,,2020-02-14 06,NB_IOB
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 11,NB_VJYB
3,1,zivame,CARD,PAYU,,2020-02-14 06,Abhyudaya Cooperative Bank
1,1,purplle.com,CARD,PAYTM,,2020-02-14 12,South Indian Bank
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 06,South Indian Bank
4,2,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 08,AIRTELMONEY
2,2,pharmeasytech,CARD,PAYU,,2020-02-14 09,Saraswat Bank
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 12,The Bharat Cooperative Bank
1,0,fanfight,CARD,GOCASHFREE,,2020-02-14 10,Tamilnad Mercantile Bank
1,1,fanfight,CARD,RAZORPAY,,2020-02-14 11,SOUTHCAROLINAF.C.U.
1,0,fanfight,NB,RAZORPAY,,2020-02-14 06,NB_PNJSB
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 03,DCB
2,0,drivezy,CARD,GOCASHFREE,,2020-02-14 03,BCCARDCO..LTD.
1,0,urbanclap,CARD,PAYTM,,2020-02-14 04,BANCAMORA.S.A.
1,1,urbanclap,CARD,PAYTM,,2020-02-14 05,Mudra Bank
1,0,fanfight,NB,RAZORPAY,,2020-02-14 12,NB_SBM
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 09,Barclays Bank
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 10,NB_JSB
1,1,zivame,NB,PAYU,,2020-02-14 01,NB_VJYB
4,0,medlife_prod,NB,RAZORPAY,,2020-02-14 09,NB_SYNB
1,0,urbanclap,NB,PAYTM,,2020-02-14 08,NB_ANDHRA
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 20,NB_SOIB
1,1,pharmeasytech,NB,PAYU,,2020-02-14 06,NB_DCB
1,0,pharmeasytech,NB,PAYTM,,2020-02-14 16,NB_IOB
1,0,purplle.com,NB,PAYU,,2020-02-14 16,NB_OBC
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 17,NB_SCB
1,1,zivame,CARD,HDFC,,2020-02-14 14,Tamilnad Mercantile Bank
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 14,Bandhan Bank
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 13,BARODA UTTAR PRADESH GRAMIN BANK
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,Bandhan Bank
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,J AND K GRAMEEN BANK
1,1,pharmeasytech,NB,RAZORPAY,,2020-02-14 15,NB_ALLB
2,2,drivezy,CARD,GOCASHFREE,,2020-02-14 17,Karur Vysya Bank
3,0,fanfight,CARD,GOCASHFREE,,2020-02-14 15,JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR
1,0,drivezy,NB,GOCASHFREE,,2020-02-14 10,NB_VJYB
1,1,urbanclap,CARD,PAYTM,,2020-02-14 11,Deutsche Bank
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 13,SOUTHCAROLINAF.C.U.
2,1,purplle.com,CARD,PAYTM,,2020-02-14 12,City Union Bank
1,1,pharmeasytech,NB,PAYU,,2020-02-14 01,NB_UNIB
1,1,zivame,NB,PAYU,,2020-02-14 11,NB_CITI
3,0,urbanclap,NB,PAYTM,,2020-02-14 07,NB_DEUT
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 06,Lakshmi Vilas Bank
1,1,urbanclap,NB,PAYTM,,2020-02-14 09,NB_OBC
2,0,drivezy,NB,GOCASHFREE,,2020-02-14 10,NB_KARN
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 05,NB_SCB
4,0,urbanclap,NB,PAYTM,,2020-02-14 00,NB_CUB
1,0,purplle.com,CONSUMER_FINANCE,PAYU,,2020-02-14 13,ZESTMONEY
2,0,purplle.com,NB,PAYU,,2020-02-14 06,NB_SOIB
2,1,urbanclap,NB,PAYTM,,2020-02-14 08,NB_INDUS
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 12,GP Parsik Bank
1,0,pharmeasytech,NB,PAYU,,2020-02-14 03,NB_CORP
2,2,pharmeasytech,CARD,PAYU,,2020-02-14 07,South Indian Bank
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2020-02-14 03,PAYZAPP
1,0,urbanclap,NB,PAYU,,2020-02-14 05,NB_PNBCORP
1,0,fanfight,CARD,RAZORPAY,,2020-02-14 14,COMMUNITYBANK
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 04,NB_CORP
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 15,NB_BOM
1,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-14 16,EPAYLATER
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 16,Bandhan Bank
4,4,fanfight,NB,PAYTM,,2020-02-14 15,NB_IDFC
1,0,fanfight,NB,RAZORPAY,,2020-02-14 14,NB_INDB
1,0,purplle.com,CARD,PAYTM,,2020-02-14 16,THE DISTRICT CO OP BANK LTD DEHRADUN
2,0,zivame,NB,PAYU,,2020-02-14 19,NB_KVB
1,0,drivezy,CARD,GOCASHFREE,,2020-02-14 20,South Indian Bank
3,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,SHIVAJI NAGARI SAHAKARI BANK LTD
1,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_OBC
1,0,purplle.com,NB,PAYU,,2020-02-14 15,NB_PNJSB
1,1,purplle.com,CARD,PAYTM,,2020-02-14 14,CHHATTISGARH RAJYA GRAMIN BANK
1,0,medlife_prod,NB,RAZORPAY,,2020-02-14 17,NB_PNBCORP
2,0,fanfight,NB,RAZORPAY,,2020-02-14 02,NB_BOM
1,1,medlife_prod,CARD,TPSL,,2020-02-14 11,BCCARDCO..LTD.
1,1,urbanclap,NB,PAYTM,,2020-02-14 04,NB_SARASB
1,1,urbanclap,CARD,PAYTM,,2020-02-14 05,Deutsche Bank
2,0,fanfight,NB,RAZORPAY,,2020-02-14 05,NB_OBC
1,0,urbanclap,CARD,PAYTM,,2020-02-14 05,Chase Bank
1,0,fanfight,NB,RAZORPAY,,2020-02-14 09,NB_JNK
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 06,THE BAGHAT URBAN COOP BANK LTD
1,0,countrydelight,NB,PAYU,,2020-02-14 05,NB_SYNB
1,1,urbanclap,CARD,PAYTM,,2020-02-14 09,South Indian Bank
2,2,purplle.com,CARD,PAYTM,,2020-02-14 07,UTTARAKHAND GRAMIN BANK
1,1,zivame,CARD,PAYU,,2020-02-14 11,ODISHA GRAMYA BANK
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 08,Bassein Catholic Bank
1,1,purplle.com,CARD,PAYTM,,2020-02-14 11,South Indian Bank
